mprenu	1728
enye	1724
nho	1723
nuabea	1722
duma	1719
sam	1716
wawu	1710
naam	1710
mebae	1707
kenya	1702
gyata	1697
nkuro	1694
kuruwa	1694
ku	1689
toaa	1689
dada	1675
soma	1674
obedi	1673
dream	1673
nhomasua	1669
mema	1669
nwomasua	1659
wonka	1659
etumi	1659
adwumaden	1655
amakye	1655
ru	1652
num	1651
nuabarima	1650
aduosia	1648
fine	1644
egyina	1642
nananom	1639
waka	1639
annye	1636
woho	1636
biase	1633
kwabena	1632
abam	1627
nyarewa	1619
mudi	1616
abi	1609
kumaa	1607
un	1605
nnamfonom	1601
susu	1599
wonnye	1599
munnye	1597
adepa	1590
note	1586
kama	1585
yan	1575
ken	1575
munnsuro	1574
abosome	1573
bem	1571
atade	1563
mame	1557
hawa	1556
mfitiase	1553
kanea	1551
akuma	1551
z	1548
atom	1547
suru	1545
osuani	1541
aduro	1540
tiri	1535
nsase	1531
adaa	1524
komm	1523
toto	1520
future	1520
akwampae	1518
tiawa	1516
sesa	1514
mekaa	1512
nkrataa	1509
mam	1506
ae	1505
menka	1504
meme	1501
mfinimfini	1500
lu	1497
adesoa	1495
yona	1493
nkyene	1491
anna	1491
nwu	1489
kura	1481
kara	1474
akum	1471
ahonya	1471
bin	1470
monkae	1469
obaa	1458
gone	1458
mfie	1457
edidi	1455
nkoaa	1451
memfa	1449
abodin	1449
ahome	1449
kwaku	1448
q	1446
ep	1443
nkabom	1443
ayaresabea	1442
kasam	1441
buronya	1441
moka	1440
mehia	1438
ab	1437
ed	1436
ayera	1435
menni	1432
kokoram	1427
nyimpa	1426
hua	1423
mmabaa	1419
mon	1414
abena	1413
abono	1412
ogyina	1411
mommfa	1408
sue	1395
ene	1394
sin	1393
bea	1390
bone	1387
hana	1387
seetan	1385
denam	1374
demo	1374
akontaa	1367
ode	1365
obiaa	1365
dam	1364
bewu	1361
nsom	1358
woda	1356
akwahosan	1354
abarimaa	1350
haa	1341
wada	1338
awe	1338
ketewaa	1338
mubedi	1335
wudi	1334
yoo	1331
meba	1326
sui	1321
mmofraase	1321
nyin	1316
ntie	1315
woate	1313
mebaa	1310
moda	1309
boom	1308
nkumaa	1308
akodi	1306
twin	1305
paanoo	1300
take	1296
akua	1293
kumase	1292
hate	1291
abodoo	1289
nwanwa	1287
woyi	1285
abom	1279
ahoni	1277
osuro	1277
egya	1271
dadwen	1267
mfimfini	1262
ahia	1258
siesie	1255
hyiae	1253
wubedi	1252
hyiraa	1251
nsem	1249
abotare	1245
ayaresa	1243
muntie	1243
wokae	1242
lua	1241
monni	1241
bue	1237
etoro	1236
ame	1235
swim	1233
akwa	1233
desu	1232
awura	1231
anata	1229
babaa	1225
akye	1222
mori	1221
wonnya	1221
nyam	1220
wunnim	1214
amen	1214
afeha	1212
apon	1211
nkyem	1206
daabi	1204
ntoaso	1202
asie	1201
none	1200
kam	1195
afua	1195
nhyia	1192
abue	1192
ahohora	1181
anyin	1174
nnuan	1173
mmae	1171
edwuma	1171
mommra	1171
ek	1169
mentumi	1166
bamaa	1162
abedi	1162
akyere	1162
duu	1161
seen	1159
bokura	1158
tin	1157
atenae	1154
eden	1151
kaesare	1151
asakura	1149
kanu	1145
akwaa	1144
ny	1141
nhyiamu	1140
ababaa	1139
wosuro	1138
wuu	1137
adwen	1133
ahohia	1132
mubetumi	1131
wine	1131
abua	1124
fu	1119
ankorankoro	1119
koe	1114
mansini	1114
pono	1113
parade	1112
bare	1112
akumaa	1112
mmerante	1109
wayi	1108
biri	1106
nokwaredi	1106
ante	1106
basabasa	1105
kase	1105
bibi	1103
poma	1100
aduokron	1100
suaa	1100
kunkum	1100
woaka	1100
mua	1099
dennen	1093
mepa	1091
nyia	1090
koko	1088
tra	1086
bane	1085
uk	1085
kora	1084
luusua	1084
anyinam	1083
nsen	1082
mawu	1077
abuse	1076
boo	1075
anwu	1069
karen	1067
